phase,feature_id,name,surface,screen_or_menu,user_action,ui_states,http_method,endpoint_or_event,backend_service,data_entities,admin_control,permission,billing_rule,async_job,acceptance_criteria,test_ids,implementation_notes,status
P03,P03-004,搜索会话标题和消息正文,Android,会话搜索,搜索会话标题和消息正文,idle|loading|success|empty|error,GET,/api/mobile/v1/conversations/search,Search Service,conversations|messages,对话与内容/搜索配置,authenticated_user,none,none,用户可在“会话搜索”完成“搜索会话标题和消息正文”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/搜索配置”能够查询或控制该能力，变更写入审计日志。,P03-004-UNIT|P03-004-API|P03-004-E2E,,PLANNED
P03,P03-005,重命名会话,Android,会话菜单,重命名会话,idle|loading|success|empty|error,PATCH,/api/mobile/v1/conversations/{conversationId},Conversation Service,conversations,对话与内容/会话详情,authenticated_user,none,none,用户可在“会话菜单”完成“重命名会话”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/会话详情”能够查询或控制该能力，变更写入审计日志。,P03-005-UNIT|P03-005-API|P03-005-E2E,,PLANNED
P03,P03-006,归档会话,Android,会话菜单,归档会话,idle|loading|success|empty|error,POST,/api/mobile/v1/conversations/{conversationId}/archive,Conversation Service,conversations,对话与内容/会话列表,authenticated_user,none,none,用户可在“会话菜单”完成“归档会话”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/会话列表”能够查询或控制该能力，变更写入审计日志。,P03-006-UNIT|P03-006-API|P03-006-E2E,,PLANNED
P03,P03-007,删除会话并进入回收策略,Android,会话菜单,删除会话并进入回收策略,idle|loading|success|empty|error,DELETE,/api/mobile/v1/conversations/{conversationId},Conversation Service,conversations|messages,对话与内容/删除策略,authenticated_user,none,none,用户可在“会话菜单”完成“删除会话并进入回收策略”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/删除策略”能够查询或控制该能力，变更写入审计日志。,P03-007-UNIT|P03-007-API|P03-007-E2E,,PLANNED
P03,P03-008,自动生成会话标题,Backend,标题任务,自动生成会话标题,idle|loading|success|empty|error,POST,/internal/v1/conversations/{conversationId}/title,AI Runtime,conversations|jobs,对话与内容/标题模型,authenticated_user,none,none,用户可在“标题任务”完成“自动生成会话标题”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/标题模型”能够查询或控制该能力，变更写入审计日志。,P03-008-UNIT|P03-008-API|P03-008-E2E,,PLANNED
P03,P03-009,发送用户文本消息,Android,会话页,发送用户文本消息,idle|loading|success|empty|error,POST,/api/mobile/v1/conversations/{conversationId}/runs,AI Runtime,messages|message_parts|message_runs,模型与供应商/模型目录,authenticated_user,none,none,用户可在“会话页”完成“发送用户文本消息”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“模型与供应商/模型目录”能够查询或控制该能力，变更写入审计日志。,P03-009-UNIT|P03-009-API|P03-009-E2E,,PLANNED
P03,P03-010,通过 SSE 流式接收回答,Android,会话页,通过 SSE 流式接收回答,idle|loading|success|empty|error,GET,/api/mobile/v1/runs/{runId}/events,AI Runtime,run_events|message_runs,运维/流式连接,authenticated_user,none,none,用户可在“会话页”完成“通过 SSE 流式接收回答”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“运维/流式连接”能够查询或控制该能力，变更写入审计日志。,P03-010-UNIT|P03-010-API|P03-010-E2E,,PLANNED
P03,P03-011,停止正在生成的回答,Android,会话输入区,停止正在生成的回答,idle|loading|success|empty|error,POST,/api/mobile/v1/runs/{runId}/cancel,AI Runtime,message_runs|run_events,对话与内容/运行记录,authenticated_user,none,none,用户可在“会话输入区”完成“停止正在生成的回答”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/运行记录”能够查询或控制该能力，变更写入审计日志。,P03-011-UNIT|P03-011-API|P03-011-E2E,,PLANNED
P03,P03-012,SSE 断线后按游标恢复,Android,会话页,SSE 断线后按游标恢复,idle|loading|success|empty|error,GET,/api/mobile/v1/runs/{runId}/events?after={eventId},AI Runtime,run_events,运维/流式连接,authenticated_user,none,none,用户可在“会话页”完成“SSE 断线后按游标恢复”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“运维/流式连接”能够查询或控制该能力，变更写入审计日志。,P03-012-UNIT|P03-012-API|P03-012-E2E,,PLANNED
P03,P03-013,恢复 App 后台期间的生成状态,Android,会话页,恢复 App 后台期间的生成状态,idle|loading|success|empty|error,GET,/api/mobile/v1/runs/{runId},AI Runtime,message_runs|messages,对话与内容/运行记录,authenticated_user,none,none,用户可在“会话页”完成“恢复 App 后台期间的生成状态”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/运行记录”能够查询或控制该能力，变更写入审计日志。,P03-013-UNIT|P03-013-API|P03-013-E2E,,PLANNED
P03,P03-014,持久化用户和 AI 消息部件,Backend,消息存储,持久化用户和 AI 消息部件,idle|loading|success|empty|error,N/A,domain://messages/persist,Conversation Service,messages|message_parts,对话与内容/消息查询,authenticated_user,none,none,用户可在“消息存储”完成“持久化用户和 AI 消息部件”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/消息查询”能够查询或控制该能力，变更写入审计日志。,P03-014-UNIT|P03-014-API|P03-014-E2E,,PLANNED
P03,P03-015,保存每次模型运行元数据,Backend,运行记录,保存每次模型运行元数据,idle|loading|success|empty|error,N/A,domain://runs/persist,AI Runtime,message_runs|usage_events,对话与内容/运行记录,authenticated_user,none,none,用户可在“运行记录”完成“保存每次模型运行元数据”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/运行记录”能够查询或控制该能力，变更写入审计日志。,P03-015-UNIT|P03-015-API|P03-015-E2E,,PLANNED
P03,P03-016,本地 Room 缓存会话和消息,Android,离线缓存,本地 Room 缓存会话和消息,idle|loading|success|empty|error,N/A,android://room/chat-cache,Android Data,local_conversations|local_messages,—,authenticated_user,none,none,用户可在“离线缓存”完成“本地 Room 缓存会话和消息”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态。,P03-016-UNIT|P03-016-API|P03-016-E2E,,PLANNED
P03,P03-017,协调本地乐观消息与服务端状态,Android,会话页,协调本地乐观消息与服务端状态,idle|loading|success|empty|error,N/A,android://message-reconciliation,Android Data,local_outbox,—,authenticated_user,none,none,用户可在“会话页”完成“协调本地乐观消息与服务端状态”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态。,P03-017-UNIT|P03-017-API|P03-017-E2E,,PLANNED
P03,P03-018,渲染 Markdown 富文本,Android,AI 回复,渲染 Markdown 富文本,idle|loading|success|empty|error,N/A,android://markdown-renderer,Android UI,message_parts,—,authenticated_user,none,none,用户可在“AI 回复”完成“渲染 Markdown 富文本”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态。,P03-018-UNIT|P03-018-API|P03-018-E2E,,PLANNED
P03,P03-019,渲染代码块并复制代码,Android,AI 回复/代码块,渲染代码块并复制代码,idle|loading|success|empty|error,N/A,android://code-block,Android UI,message_parts,—,authenticated_user,none,none,用户可在“AI 回复/代码块”完成“渲染代码块并复制代码”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态。,P03-019-UNIT|P03-019-API|P03-019-E2E,,PLANNED
P03,P03-020,渲染表格并横向滚动,Android,AI 回复/表格,渲染表格并横向滚动,idle|loading|success|empty|error,N/A,android://table-renderer,Android UI,message_parts,—,authenticated_user,none,none,用户可在“AI 回复/表格”完成“渲染表格并横向滚动”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态。,P03-020-UNIT|P03-020-API|P03-020-E2E,,PLANNED
P03,P03-021,渲染引用和来源卡片,Android,AI 回复/引用,渲染引用和来源卡片,idle|loading|success|empty|error,GET,/api/mobile/v1/messages/{messageId}/citations,Conversation Service,citations,对话与内容/引用记录,authenticated_user,none,none,用户可在“AI 回复/引用”完成“渲染引用和来源卡片”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/引用记录”能够查询或控制该能力，变更写入审计日志。,P03-021-UNIT|P03-021-API|P03-021-E2E,,PLANNED
P03,P03-022,复制整条回答,Android,消息操作栏,复制整条回答,idle|loading|success|empty|error,N/A,android://copy-message,Android UI,message_parts,—,authenticated_user,none,none,用户可在“消息操作栏”完成“复制整条回答”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态。,P03-022-UNIT|P03-022-API|P03-022-E2E,,PLANNED
P03,P03-023,分享或导出单条回答,Android,消息操作栏,分享或导出单条回答,idle|loading|success|empty|error,POST,/api/mobile/v1/messages/{messageId}/exports,Export Service,export_jobs,对话与内容/导出记录,authenticated_user,none,none,用户可在“消息操作栏”完成“分享或导出单条回答”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/导出记录”能够查询或控制该能力，变更写入审计日志。,P03-023-UNIT|P03-023-API|P03-023-E2E,,PLANNED
P03,P03-024,重新生成当前回答,Android,消息操作栏,重新生成当前回答,idle|loading|success|empty|error,POST,/api/mobile/v1/messages/{messageId}/regenerate,AI Runtime,message_runs|messages,对话与内容/运行记录,authenticated_user,none,none,用户可在“消息操作栏”完成“重新生成当前回答”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/运行记录”能够查询或控制该能力，变更写入审计日志。,P03-024-UNIT|P03-024-API|P03-024-E2E,,PLANNED
P03,P03-025,提交回答点赞或点踩,Android,消息操作栏,提交回答点赞或点踩,idle|loading|success|empty|error,POST,/api/mobile/v1/messages/{messageId}/feedback,Feedback Service,message_feedback,对话与内容/用户反馈,authenticated_user,none,none,用户可在“消息操作栏”完成“提交回答点赞或点踩”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/用户反馈”能够查询或控制该能力，变更写入审计日志。,P03-025-UNIT|P03-025-API|P03-025-E2E,,PLANNED
P03,P03-026,显示生成中、完成、取消和失败状态,Android,AI 回复,显示生成中、完成、取消和失败状态,idle|loading|success|empty|error,GET,/api/mobile/v1/runs/{runId},AI Runtime,message_runs,对话与内容/运行记录,authenticated_user,none,none,用户可在“AI 回复”完成“显示生成中、完成、取消和失败状态”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/运行记录”能够查询或控制该能力，变更写入审计日志。,P03-026-UNIT|P03-026-API|P03-026-E2E,,PLANNED
P03,P03-027,显示稳定错误信息和重试入口,Android,会话页,显示稳定错误信息和重试入口,idle|loading|success|empty|error,N/A,android://chat-error-recovery,Android UI,local_retry_state,—,authenticated_user,none,none,用户可在“会话页”完成“显示稳定错误信息和重试入口”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态。,P03-027-UNIT|P03-027-API|P03-027-E2E,,PLANNED
P03,P03-028,创建临时不长期保留的会话,Android,新建对话,创建临时不长期保留的会话,idle|loading|success|empty|error,POST,/api/mobile/v1/conversations?temporary=true,Conversation Service,conversations|retention_policies,对话与内容/保留策略,authenticated_user,none,none,用户可在“新建对话”完成“创建临时不长期保留的会话”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/保留策略”能够查询或控制该能力，变更写入审计日志。,P03-028-UNIT|P03-028-API|P03-028-E2E,,PLANNED
P03,P03-029,导出完整会话为 Markdown,Android,会话菜单,导出完整会话为 Markdown,idle|loading|success|empty|error,POST,/api/mobile/v1/conversations/{conversationId}/exports,Export Service,export_jobs|artifacts,对话与内容/导出记录,authenticated_user,none,none,用户可在“会话菜单”完成“导出完整会话为 Markdown”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/导出记录”能够查询或控制该能力，变更写入审计日志。,P03-029-UNIT|P03-029-API|P03-029-E2E,,PLANNED
P03,P03-030,朗读 AI 回答,Android,消息操作栏,朗读 AI 回答,idle|loading|success|empty|error,POST,/api/mobile/v1/messages/{messageId}/speech,Voice Service,jobs|artifacts,AI工具/语音配置,authenticated_user,none,none,用户可在“消息操作栏”完成“朗读 AI 回答”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“AI工具/语音配置”能够查询或控制该能力，变更写入审计日志。,P03-030-UNIT|P03-030-API|P03-030-E2E,,PLANNED
P03,P03-031,使用系统语音输入并编辑转写文本,Android,输入框,使用系统语音输入并编辑转写文本,idle|loading|success|empty|error,N/A,android://speech-to-text,Android Voice,local_drafts,—,authenticated_user,none,none,用户可在“输入框”完成“使用系统语音输入并编辑转写文本”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态。,P03-031-UNIT|P03-031-API|P03-031-E2E,,PLANNED
P03,P03-032,保存和恢复未发送草稿,Android,输入框,保存和恢复未发送草稿,idle|loading|success|empty|error,N/A,android://drafts,Android Data,local_drafts,—,authenticated_user,none,none,用户可在“输入框”完成“保存和恢复未发送草稿”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态。,P03-032-UNIT|P03-032-API|P03-032-E2E,,PLANNED
P03,P03-033,按用户权限校验会话所有权,Security,会话访问,按用户权限校验会话所有权,idle|loading|success|empty|error,N/A,policy://conversation-ownership,Authorization Service,conversations|workspace_members,安全与审计/访问拒绝,authenticated_user,none,none,用户可在“会话访问”完成“按用户权限校验会话所有权”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“安全与审计/访问拒绝”能够查询或控制该能力，变更写入审计日志。,P03-033-UNIT|P03-033-API|P03-033-E2E,,PLANNED
P03,P03-034,记录聊天链路延迟和错误指标,Operations,聊天指标,记录聊天链路延迟和错误指标,idle|loading|success|empty|error,GET,/internal/metrics/chat,Observability,service_metrics|traces,可观测性/AI运行,authenticated_user,none,none,用户可在“聊天指标”完成“记录聊天链路延迟和错误指标”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“可观测性/AI运行”能够查询或控制该能力，变更写入审计日志。,P03-034-UNIT|P03-034-API|P03-034-E2E,,PLANNED
P03,P03-035,后台查询会话、消息和运行记录,Admin,对话与内容/会话详情,后台查询会话、消息和运行记录,idle|loading|success|empty|error,GET,/admin/v1/conversations/{conversationId},Conversation Service,conversations|messages|message_runs,对话与内容/会话列表,authenticated_user,none,none,用户可在“对话与内容/会话详情”完成“后台查询会话、消息和运行记录”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/会话列表”能够查询或控制该能力，变更写入审计日志。,P03-035-UNIT|P03-035-API|P03-035-E2E,,PLANNED
P04,P04-001,从后台动态加载可用模型目录,Android,模型选择器,从后台动态加载可用模型目录,idle|loading|success|empty|error,GET,/api/mobile/v1/models,Model Catalog Service,models|model_capabilities,模型与供应商/模型目录,authenticated_user,none,none,用户可在“模型选择器”完成“从后台动态加载可用模型目录”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“模型与供应商/模型目录”能够查询或控制该能力，变更写入审计日志。,P04-001-UNIT|P04-001-API|P04-001-E2E,,PLANNED
P04,P04-002,按供应商分组展示模型,Android,模型选择器,按供应商分组展示模型,idle|loading|success|empty|error,GET,/api/mobile/v1/models?group=provider,Model Catalog Service,providers|models,模型与供应商/供应商,authenticated_user,none,none,用户可在“模型选择器”完成“按供应商分组展示模型”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“模型与供应商/供应商”能够查询或控制该能力，变更写入审计日志。,P04-002-UNIT|P04-002-API|P04-002-E2E,,PLANNED
P04,P04-003,展示模型用途、速度和能力标签,Android,模型选择器,展示模型用途、速度和能力标签,idle|loading|success|empty|error,GET,/api/mobile/v1/models/{modelId},Model Catalog Service,models|model_capabilities,模型与供应商/模型目录,authenticated_user,none,none,用户可在“模型选择器”完成“展示模型用途、速度和能力标签”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“模型与供应商/模型目录”能够查询或控制该能力，变更写入审计日志。,P04-003-UNIT|P04-003-API|P04-003-E2E,,PLANNED
P04,P04-004,只展示实际探测通过的能力,Backend,模型目录,只展示实际探测通过的能力,idle|loading|success|empty|error,N/A,policy://verified-capabilities,Capability Registry,model_capabilities|capability_probe_results,模型与供应商/能力探测,authenticated_user,none,none,用户可在“模型目录”完成“只展示实际探测通过的能力”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“模型与供应商/能力探测”能够查询或控制该能力，变更写入审计日志。,P04-004-UNIT|P04-004-API|P04-004-E2E,,PLANNED
P04,P04-005,加载模型支持的推理档位,Android,推理选择器,加载模型支持的推理档位,idle|loading|success|empty|error,GET,/api/mobile/v1/models/{modelId}/reasoning-profiles,Model Catalog Service,reasoning_profiles,模型与供应商/推理映射,authenticated_user,none,none,用户可在“推理选择器”完成“加载模型支持的推理档位”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“模型与供应商/推理映射”能够查询或控制该能力，变更写入审计日志。,P04-005-UNIT|P04-005-API|P04-005-E2E,,PLANNED
P04,P04-006,将用户推理档位映射为上游参数,Backend,推理适配,将用户推理档位映射为上游参数,idle|loading|success|empty|error,N/A,adapter://reasoning-profile,AI Runtime,reasoning_profiles|message_runs,模型与供应商/推理映射,authenticated_user,none,none,用户可在“推理适配”完成“将用户推理档位映射为上游参数”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“模型与供应商/推理映射”能够查询或控制该能力，变更写入审计日志。,P04-006-UNIT|P04-006-API|P04-006-E2E,,PLANNED
P04,P04-007,设置全局默认模型和推理档位,Android,我的/AI设置,设置全局默认模型和推理档位,idle|loading|success|empty|error,PUT,/api/mobile/v1/preferences/ai,Preference Service,user_preferences,模型与供应商/默认配置,authenticated_user,none,none,用户可在“我的/AI设置”完成“设置全局默认模型和推理档位”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“模型与供应商/默认配置”能够查询或控制该能力，变更写入审计日志。,P04-007-UNIT|P04-007-API|P04-007-E2E,,PLANNED
P04,P04-008,设置当前会话默认模型,Android,会话设置,设置当前会话默认模型,idle|loading|success|empty|error,PATCH,/api/mobile/v1/conversations/{conversationId}/settings,Conversation Service,conversations,对话与内容/会话详情,authenticated_user,none,none,用户可在“会话设置”完成“设置当前会话默认模型”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/会话详情”能够查询或控制该能力，变更写入审计日志。,P04-008-UNIT|P04-008-API|P04-008-E2E,,PLANNED
P04,P04-009,仅为本次消息临时切换模型,Android,输入区模型条,仅为本次消息临时切换模型,idle|loading|success|empty|error,POST,/api/mobile/v1/conversations/{conversationId}/runs,AI Runtime,message_runs,模型与供应商/模型目录,authenticated_user,none,none,用户可在“输入区模型条”完成“仅为本次消息临时切换模型”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“模型与供应商/模型目录”能够查询或控制该能力，变更写入审计日志。,P04-009-UNIT|P04-009-API|P04-009-E2E,,PLANNED
P04,P04-010,每条回答显示真实模型和推理档位,Android,AI 回复标签,每条回答显示真实模型和推理档位,idle|loading|success|empty|error,GET,/api/mobile/v1/messages/{messageId}/run-metadata,Conversation Service,message_runs,对话与内容/运行记录,authenticated_user,none,none,用户可在“AI 回复标签”完成“每条回答显示真实模型和推理档位”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/运行记录”能够查询或控制该能力，变更写入审计日志。,P04-010-UNIT|P04-010-API|P04-010-E2E,,PLANNED
P04,P04-011,使用其他模型重新回答且保留旧答案,Android,消息操作栏,使用其他模型重新回答且保留旧答案,idle|loading|success|empty|error,POST,/api/mobile/v1/messages/{messageId}/rerun,AI Runtime,conversation_branches|message_runs,对话与内容/分支,authenticated_user,none,none,用户可在“消息操作栏”完成“使用其他模型重新回答且保留旧答案”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/分支”能够查询或控制该能力，变更写入审计日志。,P04-011-UNIT|P04-011-API|P04-011-E2E,,PLANNED
P04,P04-012,创建会话回答分支,Backend,会话分支,创建会话回答分支,idle|loading|success|empty|error,POST,/api/mobile/v1/conversations/{conversationId}/branches,Conversation Service,conversation_branches|messages,对话与内容/分支,authenticated_user,none,none,用户可在“会话分支”完成“创建会话回答分支”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/分支”能够查询或控制该能力，变更写入审计日志。,P04-012-UNIT|P04-012-API|P04-012-E2E,,PLANNED
P04,P04-013,选择并切换当前会话分支,Android,会话分支切换,选择并切换当前会话分支,idle|loading|success|empty|error,GET,/api/mobile/v1/conversations/{conversationId}/branches,Conversation Service,conversation_branches,对话与内容/分支,authenticated_user,none,none,用户可在“会话分支切换”完成“选择并切换当前会话分支”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“对话与内容/分支”能够查询或控制该能力，变更写入审计日志。,P04-013-UNIT|P04-013-API|P04-013-E2E,,PLANNED
P04,P04-014,同时请求多个模型进行回答对比,Android,多模型对比,同时请求多个模型进行回答对比,idle|loading|success|empty|error,POST,/api/mobile/v1/comparisons,Comparison Orchestrator,comparison_groups|message_runs,AI工具/多模型对比,authenticated_user,usage_metered,comparison_run,用户可在“多模型对比”完成“同时请求多个模型进行回答对比”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“AI工具/多模型对比”能够查询或控制该能力，变更写入审计日志；计量、额度预检、冻结、结算或回滚不得重复扣费，账本可对账；异步任务 comparison_run 支持进度、取消、重试、幂等和失败诊断。,P04-014-UNIT|P04-014-API|P04-014-E2E,,PLANNED
P04,P04-015,标签页切换不同模型对比结果,Android,对比结果,标签页切换不同模型对比结果,idle|loading|success|empty|error,GET,/api/mobile/v1/comparisons/{comparisonId},Comparison Orchestrator,comparison_groups|messages,AI工具/多模型对比,authenticated_user,none,none,用户可在“对比结果”完成“标签页切换不同模型对比结果”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“AI工具/多模型对比”能够查询或控制该能力，变更写入审计日志。,P04-015-UNIT|P04-015-API|P04-015-E2E,,PLANNED
P04,P04-016,采用一个候选回答继续会话,Android,对比结果,采用一个候选回答继续会话,idle|loading|success|empty|error,POST,/api/mobile/v1/comparisons/{comparisonId}/adopt,Conversation Service,conversation_branches|messages,AI工具/多模型对比,authenticated_user,none,none,用户可在“对比结果”完成“采用一个候选回答继续会话”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“AI工具/多模型对比”能够查询或控制该能力，变更写入审计日志。,P04-016-UNIT|P04-016-API|P04-016-E2E,,PLANNED
P04,P04-017,综合多个模型回答,Android,对比结果,综合多个模型回答,idle|loading|success|empty|error,POST,/api/mobile/v1/comparisons/{comparisonId}/synthesize,Workflow Orchestrator,comparison_groups|message_runs,AI工具/多模型对比,authenticated_user,usage_metered,synthesis_run,用户可在“对比结果”完成“综合多个模型回答”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“AI工具/多模型对比”能够查询或控制该能力，变更写入审计日志；计量、额度预检、冻结、结算或回滚不得重复扣费，账本可对账；异步任务 synthesis_run 支持进度、取消、重试、幂等和失败诊断。,P04-017-UNIT|P04-017-API|P04-017-E2E,,PLANNED
P04,P04-018,透明提示模型不可用并请求用户选择回退,Android,模型错误弹层,透明提示模型不可用并请求用户选择回退,idle|loading|success|empty|error,GET,/api/mobile/v1/models/{modelId}/availability,Model Routing Service,model_health_status,模型与供应商/服务状态,authenticated_user,none,none,用户可在“模型错误弹层”完成“透明提示模型不可用并请求用户选择回退”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“模型与供应商/服务状态”能够查询或控制该能力，变更写入审计日志。,P04-018-UNIT|P04-018-API|P04-018-E2E,,PLANNED
P04,P04-019,按会话授权自动回退模型,Backend,模型路由,按会话授权自动回退模型,idle|loading|success|empty|error,N/A,policy://model-fallback,Model Routing Service,routing_policies|route_targets,模型与供应商/路由策略,authenticated_user,none,none,用户可在“模型路由”完成“按会话授权自动回退模型”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“模型与供应商/路由策略”能够查询或控制该能力，变更写入审计日志。,P04-019-UNIT|P04-019-API|P04-019-E2E,,PLANNED
P04,P04-020,配置供应商通道和凭据引用,Admin,模型与供应商/通道,配置供应商通道和凭据引用,idle|loading|success|empty|error,GET|POST,/admin/v1/provider-channels,Provider Service,provider_channels|secret_references,模型与供应商/通道,authenticated_user,none,none,用户可在“模型与供应商/通道”完成“配置供应商通道和凭据引用”，成功结果与服务端持久化状态一致；无权限、参数错误、重复提交、网络超时和服务异常均返回稳定错误码并呈现可恢复状态；管理后台“模型与供应商/通道”能够查询或控制该能力，变更写入审计日志。,P04-020-UNIT|P04-020-API|P04-020-E2E,,PLANNED
