phase,feature_id,surface,http_method,endpoint_or_event,backend_service,permission,billing_rule,async_job,data_entities,admin_control
P09,P09-022,Android,POST,/api/mobile/v1/privacy/deletion-requests,Privacy Service,authenticated_user,none,privacy_delete,deletion_requests,安全与审计/删除请求
P09,P09-023,Android,GET,/api/mobile/v1/app/releases/latest,Release Service,authenticated_user,none,none,app_versions,系统运营/App版本
P09,P09-024,Android,POST,/api/mobile/v1/support/tickets,Support Service,authenticated_user,none,none,support_tickets|attachments,系统运营/反馈工单
P09,P09-025,Android,GET,/api/mobile/v1/service-status,Incident Service,authenticated_user,none,none,incidents,可观测性/事故管理
P10,P10-001,Admin,GET|POST,/admin/v1/products,Catalog Service,authenticated_user,none,none,products|plans|prices,商业化/产品与套餐
P10,P10-002,Android,GET,/api/mobile/v1/catalog/plans,Catalog Service,authenticated_user,none,none,plans|prices|entitlement_definitions,商业化/产品与套餐
P10,P10-003,Android,POST,/api/mobile/v1/orders,Order Service,authenticated_user,none,none,orders|order_items,商业化/订单
P10,P10-004,Backend,POST,/api/v1/payments/{provider}/webhook,Payment Service,system,payment,payment_webhook,payments|orders|webhook_events,商业化/支付回调
P10,P10-005,Admin,POST,/admin/v1/users/{userId}/test-credit,Wallet Service,admin,payment,none,ledger_transactions|ledger_entries,商业化/钱包
P10,P10-008,Backend,GET,/api/mobile/v1/wallet/balance,Wallet Service,authenticated_user,none,none,balance_projections|credit_buckets,商业化/钱包
P10,P10-009,Android,GET,/api/mobile/v1/wallet/buckets,Wallet Service,authenticated_user,none,none,credit_buckets,商业化/钱包
P10,P10-010,Android,GET,/api/mobile/v1/wallet/ledger,Ledger Service,authenticated_user,none,none,ledger_entries,商业化/账本
P10,P10-012,Backend,POST,/internal/v1/entitlements/check,Entitlement Service,authenticated_user,none,none,entitlement_grants|quota_counters,商业化/权益
P10,P10-016,Android,GET,/api/mobile/v1/usage/summary,Usage Service,authenticated_user,none,none,usage_aggregates,商业化/用量
P10,P10-017,Backend,POST,/internal/v1/gateways/sub2api/users/ensure,Sub2API Adapter,authenticated_user,none,none,gateway_user_links,Sub2API与通道/用户映射
P10,P10-018,Developer Web,POST,/api/developer/v1/sub2api/link,Sub2API Adapter,authenticated_user,none,none,gateway_user_links,Sub2API与通道/用户映射
P10,P10-019,Backend,POST,/internal/v1/gateways/sub2api/app-keys,Sub2API Adapter,authenticated_user,none,none,gateway_api_key_links,Sub2API与通道/API Key映射
P10,P10-025,Admin,GET,/admin/v1/commerce/transactions,Commerce Query Service,authenticated_user,none,none,orders|payments|subscriptions|refunds,商业化/交易管理
P10,P10-026,Admin,GET,/admin/v1/users/{userId}/wallet,Wallet Service,authenticated_user,none,none,wallet_accounts|ledger_entries|credit_reservations,商业化/钱包与账本
P10,P10-027,Admin,POST,/admin/v1/refunds,Refund Service,admin,payment,refund_process,refunds|ledger_transactions|entitlement_grants,商业化/退款
P10,P10-028,Admin,PUT,/admin/v1/billing/credit-policy,Billing Service,authenticated_user,none,none,billing_policies,商业化/额度策略
P10,P10-029,Admin,POST,/admin/v1/pricing/model-versions,Pricing Service,authenticated_user,none,none,model_price_versions,商业化/模型价格
P11,P11-001,Developer Web,GET,/api/developer/v1/overview,Developer Service,authenticated_user,none,none,api_keys|usage_aggregates|balance_projections,开发者平台/概览
P11,P11-002,Developer Web,POST,/api/developer/v1/enrollment,Developer Service,authenticated_user,none,none,developer_profiles,开发者平台/开发者用户
P11,P11-003,Developer Web,GET,/oauth2/authorize,OIDC Provider,authenticated_user,none,none,oauth_clients|oauth_authorizations|gateway_user_links,Sub2API与通道/OIDC
P11,P11-004,Developer Web,POST,/api/developer/v1/api-keys,API Key Service,authenticated_user,none,none,api_keys|api_key_policies,开发者平台/API Key
P11,P11-006,Developer Web,GET,/api/developer/v1/api-keys,API Key Service,authenticated_user,none,none,api_keys|api_request_logs,开发者平台/API Key
P11,P11-007,Developer Web,POST,/api/developer/v1/api-keys/{keyId}/actions,API Key Service,authenticated_user,none,none,api_keys|audit_logs,开发者平台/API Key
P11,P11-008,Developer Web,PUT,/api/developer/v1/api-keys/{keyId}/budget,Quota Service,authenticated_user,none,none,api_key_policies|quota_counters,开发者平台/预算
P11,P11-009,Developer Web,PUT,/api/developer/v1/budget,Quota Service,authenticated_user,none,none,developer_budgets,开发者平台/预算
P11,P11-010,Developer Web,PUT,/api/developer/v1/api-keys/{keyId}/policy,API Key Service,authenticated_user,none,none,api_key_policies|ip_allowlists,开发者平台/API Key策略
P11,P11-013,Public API,GET,/v1/models,Developer Gateway,authenticated_user,none,none,models|model_aliases,开发者平台/API版本
P11,P11-014,Public API,POST,/v1/chat/completions,Developer Gateway,developer_api_key,usage_metered,none,api_request_logs|usage_events,开发者平台/API日志
P11,P11-015,Public API,POST,/v1/responses,Developer Gateway,developer_api_key,usage_metered,none,api_request_logs|usage_events,开发者平台/API日志
P11,P11-016,Public API,POST,/v1/responses?stream=true,Developer Gateway,developer_api_key,usage_metered,none,api_request_logs|run_events,开发者平台/API日志
P11,P11-017,Public API,POST,/v1/images/generations,Developer Gateway,developer_api_key,usage_metered,image_generation,jobs|api_request_logs,开发者平台/API日志
P11,P11-018,Public API,POST,/ylven/v1/conversations,Developer Gateway,developer_api_key,usage_metered,none,conversations|messages,开发者平台/API版本
P11,P11-019,Public API,POST,/ylven/v1/files,Developer Gateway,developer_api_key,usage_metered,none,attachments|jobs,开发者平台/API版本
P11,P11-020,Public API,GET,/v1/models,Model Catalog Service,authenticated_user,none,none,model_aliases,开发者平台/模型别名
P11,P11-022,Developer Web,GET,/api/developer/v1/usage,Usage Service,authenticated_user,none,none,usage_aggregates,开发者平台/用量
P11,P11-023,Developer Web,GET,/api/developer/v1/request-logs,Developer Log Service,authenticated_user,none,none,api_request_logs,开发者平台/API日志
P11,P11-024,Developer Web,POST,/api/developer/v1/playground/run,Developer Gateway,authenticated_user,usage_metered,none,api_request_logs,开发者平台/Playground
P11,P11-025,Developer Web,GET,/api/developer/v1/models,Pricing Service,authenticated_user,none,none,models|model_price_versions,商业化/模型价格
P11,P11-026,Developer Web,GET,/docs/api/{version},Documentation Service,authenticated_user,none,none,api_versions|sdk_versions,开发者平台/API文档
P11,P11-027,Developer Web,PUT,/api/developer/v1/alerts,Alert Service,authenticated_user,none,none,alert_rules,开发者平台/告警
P11,P11-028,Developer Web,POST,/api/developer/v1/webhooks,Webhook Service,authenticated_user,none,none,webhooks,开发者平台/Webhook
P11,P11-031,Admin,GET,/admin/v1/developers/{developerId},Developer Service,authenticated_user,none,none,developer_profiles|api_keys|security_events,开发者平台/开发者用户
P11,P11-032,Admin,POST,/admin/v1/api-versions,API Lifecycle Service,authenticated_user,none,none,api_versions,开发者平台/API版本
P12,P12-007,Admin,POST,/admin/v1/approvals,Approval Service,authenticated_user,none,none,approval_requests,安全与审计/审批
P12,P12-008,Operations,GET,/internal/metrics,Observability,authenticated_user,none,none,service_metrics,可观测性/指标
P12,P12-009,Admin,GET,/admin/v1/observability/logs,Observability,authenticated_user,none,none,log_indexes,可观测性/日志
P12,P12-011,Admin,GET|POST,/admin/v1/alerts,Alert Service,authenticated_user,none,none,alert_rules|alert_events,可观测性/告警
P12,P12-012,Admin,GET|POST,/admin/v1/incidents,Incident Service,authenticated_user,none,none,incidents|incident_updates,可观测性/事故
P12,P12-024,Admin,PUT,/admin/v1/settings/retention,Retention Service,authenticated_user,none,none,retention_policies,系统设置/数据保留
P13,P13-015,Owner/QA,POST,/admin/v1/releases/P13/owner-acceptance,Release Service,authenticated_user,none,none,owner_acceptance_reports,质量与发布/最终验收
